Religious,Nature,Theatre,Shopping,Picnic,sports,class
97.944,6.592,96.296,72.96,8.296,53.24,1
86.68,17.672,84.016,101.68,0,78.36,0
96.528,4.704,95.352,63.52,7.352,50.88,0
87.96,18.184,85.552,102.96,0,80.92,3
98.808,7.744,96.872,78.72,8.872,54.68,1
92.912,10.912,90.912,89.56,3.368,62.28,0
95.904,9.904,94.856,84.76,6.904,59.76,3
93.648,11.648,91.648,93.24,4.472,64.12,1
94.624,8.624,92.936,81.56,5.624,56.56,0
90.848,14.12,88.848,97.12,0.848,69.24,1
98.616,7.488,96.744,77.44,8.744,54.36,4
96.6,4.8,95.4,64,7.4,51,0
91.568,15.92,89.568,98.92,1.568,72.84,0
92.592,10.592,90.592,87.96,2.888,61.48,3
92.256,10.256,90.256,86.28,2.384,60.64,2
85.88,17.352,83.056,100.88,0,76.76,2
93.232,11.232,91.232,91.16,3.848,63.08,4
91.456,15.64,89.456,98.64,1.456,72.28,1
98.28,7.04,96.52,75.2,8.52,53.8,3
90.672,13.68,88.672,96.68,0.672,68.36,2
93.104,11.104,91.104,90.52,3.656,62.76,4
95.184,9.184,93.776,82.96,6.184,57.96,2
96.336,4.448,95.224,62.24,7.224,50.56,4
95.36,9.36,94.04,83.4,6.36,58.4,2
98.88,7.84,96.92,79.2,8.92,54.8,1
92,17,90,100,2,75,3
90.96,14.4,88.96,97.4,0.96,69.8,0
90.336,12.84,88.336,95.84,0.336,66.68,1
97.8,6.4,96.2,72,8.2,53,0
