class,fixed acidity,volatile acidity,citric acid,alcohol,quality
red,7.7,0.23,0.37,23,6
red,7.6,0.41,0.33,6,5
red,7.8,0.64,0,27,5
red,7.9,0.18,0.4,38,5
red,7.4,0.41,0.24,18,5
red,7.6,0.43,0.31,13,6
red,5.9,0.44,0,3,6
red,6.1,0.4,0.16,11,7
red,10.2,0.54,0.37,55,6
red,10,0.38,0.38,27,5
red,6.8,0.915,0.29,15,5
red,7,0.59,0,3,5
red,7.3,0.67,0.02,31,6
red,7.2,0.37,0.32,15,7
red,7.4,0.785,0.19,19,6
red,6.9,0.63,0.02,18,5
red,6.9,0.58,0.2,8,5
red,7.3,0.67,0.02,31,6
red,7.4,0.785,0.19,19,6
red,6.9,0.63,0.02,18,5
red,6.8,0.67,0,22,5
red,6.9,0.58,0.01,40,5
red,7.2,0.38,0.31,15,8
red,7.2,0.37,0.32,15,7
red,7.8,0.32,0.44,8,7
red,6.6,0.58,0.02,37,7
red,7.6,0.49,0.33,27,5
red,11.7,0.45,0.63,7,6
red,6.5,0.9,0,9,6
red,6,0.54,0.06,38,6
red,7.6,0.49,0.33,27,5
red,8.4,0.29,0.4,8,5
red,7.9,0.2,0.35,7,7
red,6.4,0.42,0.09,34,6
red,6.2,0.785,0,6,4
red,6.8,0.64,0.03,14,6
red,6.9,0.63,0.01,14,6
red,6.8,0.59,0.1,34,5
red,7.3,0.48,0.32,31,7
red,6.7,1.04,0.08,19,4
red,7.3,0.48,0.32,31,7
red,7.3,0.98,0.05,20,3
red,10,0.69,0.11,8,5
red,6.7,0.7,0.08,8,5
red,7.6,0.35,0.6,23,6
red,6.1,0.6,0.08,14,5
red,9.9,0.5,0.5,48,5
red,5.3,0.47,0.11,16,7
red,9.9,0.5,0.5,48,5
red,5.3,0.47,0.11,16,7
red,7.1,0.875,0.05,3,3
red,8.2,0.28,0.6,10,5
red,5.6,0.62,0.03,6,4
red,8.2,0.28,0.6,10,5
red,7.2,0.58,0.54,3,4
red,8.1,0.33,0.44,6,5
red,6.8,0.91,0.06,4,4
red,7,0.655,0.16,8,5
red,6.8,0.68,0.21,9,5
red,6,0.64,0.05,9,5
red,5.6,0.54,0.04,5,5
red,6.2,0.57,0.1,4,6
red,7.1,0.22,0.49,8,6
red,5.6,0.54,0.04,5,5
red,6.2,0.65,0.06,6,5
red,7.7,0.54,0.26,23,5
red,7.5,0.38,0.57,5,6
red,6.7,0.76,0.02,6,3
red,6.8,0.81,0.05,6,6
red,7.5,0.38,0.57,5,6
red,7.1,0.27,0.6,17,6
red,7.9,0.18,0.4,7,5
red,6.4,0.36,0.21,26,6
red,7.1,0.69,0.04,19,5
red,6.4,0.79,0.04,11,6
red,6.4,0.56,0.15,17,6
red,6.9,0.84,0.21,16,6
red,6.9,0.84,0.21,16,6
red,6.1,0.32,0.25,23,5
red,6.5,0.53,0.06,29,6
red,7.4,0.47,0.46,7,5
red,6.6,0.7,0.08,14,5
red,6.5,0.53,0.06,29,6
red,6.9,0.48,0.2,9,4
red,6.1,0.32,0.25,23,5
red,6.8,0.48,0.25,29,5
red,6,0.42,0.19,22,6
red,6.7,0.48,0.08,18,5
red,6.8,0.47,0.08,18,6
red,7.1,0.53,0.07,15,6
red,7.9,0.29,0.49,21,6
red,6.7,0.855,0.02,29,6
red,11.1,0.44,0.42,14,6
red,8.4,0.37,0.43,12,7
red,6.5,0.63,0.33,16,6
