class,b1,b2,b3,b4,b5,b6,b7,b8,b9
3,55,50,66,106,63,100,114,26,59
2,55,47,66,100,61,106,92,25,56
3,69,27,51,101,47,88,79,23,54
1,71,65,85,100,81,121,120,35,73
4,81,98,125,117,90,129,89,46,76
3,67,31,55,102,47,89,81,23,56
4,61,65,83,144,58,110,139,38,76
4,105,160,196,131,65,109,96,40,75
3,58,51,67,94,65,101,111,26,56
4,68,27,51,100,46,87,77,23,54
1,62,65,90,97,85,126,92,47,83
1,80,29,56,114,48,92,100,25,59
4,63,71,95,100,87,130,79,43,77
3,54,33,59,78,48,87,62,23,52
3,64,54,71,116,63,104,127,26,59
3,63,68,87,115,75,120,92,42,76
3,72,29,56,110,48,92,94,24,59
2,70,29,55,106,51,93,100,25,60
1,81,28,52,116,46,90,91,23,57
2,70,29,54,114,47,89,98,25,58
2,78,29,53,118,48,89,101,25,58
2,41,40,64,85,57,96,76,23,51
4,45,27,49,84,49,94,60,24,55
4,72,28,54,109,51,97,85,25,60
3,56,49,69,113,63,111,109,26,58
1,51,53,72,88,74,111,64,39,67
1,57,55,73,93,72,107,99,26,57
2,59,53,71,110,63,107,96,26,56
4,78,30,56,107,50,93,84,24,57
3,52,59,88,95,97,136,63,55,80
3,52,26,48,97,50,95,85,25,58
4,83,28,54,119,47,92,97,25,58
1,58,30,52,93,49,91,72,24,56
3,54,26,49,87,44,84,66,22,51
1,54,27,51,87,53,91,72,25,55
1,60,28,48,102,45,86,80,24,53
1,60,46,73,114,69,116,92,29,63
2,57,35,59,94,66,102,90,32,67
3,72,30,55,99,49,92,89,23,57
2,67,28,52,102,51,96,84,26,59
1,81,33,56,109,55,95,100,26,61
3,65,28,51,99,49,88,78,24,54
1,79,27,53,115,47,92,89,24,57
3,57,44,67,135,58,111,112,25,55
3,64,27,51,99,50,96,89,26,58
2,47,25,48,86,46,88,60,21,50
3,58,58,76,109,80,121,64,48,70
1,66,27,50,96,47,87,78,22,53
2,81,32,57,120,56,107,105,28,63
3,40,25,47,81,49,87,74,24,55
2,53,67,97,76,88,130,54,56,92
3,58,27,49,95,46,89,81,22,55
1,47,38,60,121,57,108,91,25,54
1,50,27,50,79,45,84,68,23,54
4,66,29,53,99,52,96,89,25,57
3,80,28,54,115,52,95,93,24,58
4,53,26,50,91,50,94,66,22,53
1,89,30,58,122,54,101,102,25,59
2,46,28,50,82,51,90,67,24,54
1,53,45,66,102,55,100,89,25,54
1,54,50,69,101,64,107,104,26,55
3,61,29,52,96,55,100,78,26,57
3,85,29,55,122,55,103,101,26,62
4,46,41,61,117,58,109,86,24,55
4,59,28,53,95,49,91,77,23,54
3,76,29,54,115,49,95,97,24,60
1,62,27,49,90,46,86,82,24,55
3,57,42,61,107,66,106,101,25,54
4,67,48,68,110,72,115,81,34,66
4,53,48,65,87,60,98,95,25,54
2,63,29,52,97,55,101,79,24,58
1,74,40,61,110,66,110,111,29,68
3,62,51,68,99,63,98,115,27,57
1,51,28,50,86,45,86,63,22,50
2,72,77,92,98,98,125,96,39,70
4,46,47,72,81,57,94,88,26,53
4,59,67,81,85,81,114,86,38,68
1,54,27,50,93,46,86,80,23,53
3,49,38,58,100,62,108,106,26,57
4,86,30,57,119,57,104,101,25,62
1,59,27,51,94,46,87,76,24,54
1,59,28,51,93,57,98,86,26,59
4,69,72,94,90,79,120,79,43,72
3,54,46,73,107,61,107,97,25,52
2,58,30,52,91,50,90,68,23,53
2,85,30,57,117,49,94,93,25,60
1,71,29,55,109,47,93,102,25,58
4,73,28,53,112,49,93,98,24,60
1,59,29,52,94,57,102,93,26,58
4,51,32,55,77,45,85,68,24,52
1,86,28,53,123,54,99,108,25,60
2,54,48,66,87,63,98,123,27,58
3,92,30,57,121,48,95,101,24,60
1,53,40,60,101,59,102,97,25,54
3,66,28,52,98,47,88,83,25,57
4,65,28,52,93,49,90,74,24,56
1,83,29,54,120,51,95,108,25,61
3,56,26,50,94,50,87,83,24,54
4,82,30,56,113,48,94,98,24,60
4,56,26,51,96,55,99,72,22,54
2,58,62,86,85,61,93,88,24,53
3,55,58,76,89,84,118,83,36,69
4,65,28,53,100,47,90,98,25,58
1,62,28,51,96,46,89,87,24,56
1,56,27,51,93,60,101,71,24,55
1,58,25,48,98,46,89,73,22,53
2,82,29,54,119,50,98,105,25,59
4,55,61,90,75,55,91,84,24,54
3,66,69,93,90,63,100,99,25,57
4,79,30,55,115,51,96,109,25,59
2,69,27,53,106,47,90,87,24,55
2,80,29,55,116,50,95,102,25,59
