class,fixed acidity,volatile acidity,citric acid,residual sugar,alcohol,quality
white,6.2,0.27,0.43,7.8,9,6
white,6.8,0.3,0.23,4.6,9.5,5
white,6,0.27,0.28,4.8,10,5
white,8.6,0.23,0.46,1,9.1,6
white,6.7,0.23,0.31,2.1,10.7,8
white,7.4,0.24,0.29,10.1,9.5,5
white,7.1,0.18,0.36,1.4,12.7,7
white,7,0.32,0.34,1.3,12,7
white,7.4,0.18,0.3,8.8,9.3,5
white,6.7,0.54,0.28,5.4,9,5
white,6.8,0.22,0.31,1.4,10.6,6
white,7.1,0.2,0.34,16,9.2,6
white,7.1,0.34,0.2,6.1,10,5
white,7.3,0.22,0.3,8.2,9.5,6
white,7.1,0.43,0.61,11.8,8.7,5
white,7.1,0.44,0.62,11.8,8.7,6
white,7.2,0,0.63,11,8.7,6
white,6.8,0.25,0.31,13.3,9.7,6
white,7.1,0.43,0.61,11.8,8.7,5
white,7.1,0.44,0.62,11.8,8.7,6
red,8.7,0.78,0.51,1.7,12,5
red,7.5,0.58,0.56,3.1,5,6
red,8.7,0.78,0.51,1.7,12,5
red,7.7,0.75,0.27,3.8,34,5
red,6.8,0.815,0,1.2,16,3
red,7.2,0.56,0.26,2,13,5
red,8.2,0.885,0.2,1.4,7,5
red,5.2,0.49,0.26,2.3,23,6
red,7.2,0.45,0.15,2,10,6
red,7.5,0.57,0.02,2.6,11,6
red,7.5,0.57,0.02,2.6,11,6
red,6.8,0.83,0.09,1.8,4,5
red,8,0.6,0.22,2.1,25,5
red,8,0.6,0.22,2.1,25,5
red,7.1,0.755,0.15,1.8,20,5
red,8,0.81,0.25,3.4,34,5
red,7.4,0.64,0.07,1.8,8,5
red,7.4,0.64,0.07,1.8,8,5
red,6.6,0.64,0.31,6.1,7,5
red,6.7,0.48,0.02,2.2,36,5
red,6,0.49,0,2.3,15,6
red,8,0.64,0.22,2.4,5,5
red,7.1,0.62,0.06,1.3,5,5
red,8,0.52,0.25,2,19,5
red,6.4,0.57,0.14,3.9,27,5
red,8.6,0.685,0.1,1.6,3,6
red,8.7,0.675,0.1,1.6,4,5
red,7.3,0.59,0.26,2,17,5
red,7,0.6,0.12,2.2,13,7
red,7.2,0.67,0,2.2,10,6
red,7.9,0.69,0.21,2.1,33,5
red,7.9,0.69,0.21,2.1,33,5
red,7.6,0.3,0.42,2,6,6
red,7.2,0.33,0.33,1.7,3,8
red,8,0.5,0.39,2.6,12,6
red,7.7,0.28,0.3,2,18,7
red,8.2,0.24,0.34,5.1,8,6
red,6,0.51,0,2.1,40,6
red,8.1,0.29,0.36,2.2,35,7
red,6,0.51,0,2.1,40,6
red,6.6,0.96,0,1.8,5,6
red,6.4,0.47,0.4,2.4,8,6
red,8.2,0.24,0.34,5.1,8,6
red,9.9,0.57,0.25,2,12,5
red,10,0.32,0.59,2.2,3,5
red,6.2,0.58,0,1.6,8,5
red,10,0.32,0.59,2.2,3,5
red,7.3,0.34,0.33,2.5,21,7
red,7.8,0.53,0.01,1.6,3,5
red,7.7,0.64,0.21,2.2,32,5
red,7.8,0.53,0.01,1.6,3,5
red,7.5,0.4,0.18,1.6,24,5
red,7,0.54,0.06,2.1,39,6
red,6.4,0.53,0.09,3.9,14,4
red,8.3,0.26,0.37,1.4,8,6
red,8.3,0.26,0.37,1.4,8,6
red,7.7,0.23,0.37,1.8,23,6
red,7.6,0.41,0.33,2.5,6,5
red,7.8,0.64,0,1.9,27,5
red,7.9,0.18,0.4,2.2,38,5
red,7.4,0.41,0.24,1.8,18,5
red,7.6,0.43,0.31,2.1,13,6
 ,5.9,0.44,0,1.6,3,6
red,6.1,0.4,0.16,1.8,11,7
red,10.2,0.54,0.37,15.4,55,6
red,10.2,0.54,0.37,15.4,55,6
red,10,0.38,0.38,1.6,27,5
red,6.8,0.915,0.29,4.8,15,5
red,7,0.59,0,1.7,3,5
red,7.3,0.67,0.02,2.2,31,6
red,7.2,0.37,0.32,2,15,7
red,7.4,0.785,0.19,5.2,19,6
red,6.9,0.63,0.02,1.9,18,5
red,6.9,0.58,0.2,1.75,8,5
red,7.3,0.67,0.02,2.2,31,6
red,7.4,0.785,0.19,5.2,19,6
red,6.9,0.63,0.02,1.9,18,5
red,6.8,0.67,0,1.9,22,5
red,6.9,0.58,0.01,1.9,40,5
red,7.2,0.38,0.31,2,15,8
red,7.2,0.37,0.32,2,15,7
red,7.8,0.32,0.44,2.7,8,7
red,6.6,0.58,0.02,2,37,7
red,7.6,0.49,0.33,1.9,27,5
red,11.7,0.45,0.63,2.2,7,6
red,6.5,0.9,0,1.6,9,6
red,6,0.54,0.06,1.8,38,6
red,7.6,0.49,0.33,1.9,27,5
red,8.4,0.29,0.4,1.7,8,5
red,7.9,0.2,0.35,1.7,7,7
red,6.4,0.42,0.09,2.3,34,6
red,6.2,0.785,0,2.1,6,4
red,6.8,0.64,0.03,2.3,14,6
red,6.9,0.63,0.01,2.4,14,6
red,6.8,0.59,0.1,1.7,34,5
red,6.8,0.59,0.1,1.7,34,5
red,7.3,0.48,0.32,2.1,31,7
red,6.7,1.04,0.08,2.3,19,4
red,7.3,0.48,0.32,2.1,31,7
red,7.3,0.98,0.05,2.1,20,3
red,10,0.69,0.11,1.4,8,5
red,6.7,0.7,0.08,3.75,8,5
red,7.6,0.35,0.6,2.6,23,6
red,6.1,0.6,0.08,1.8,14,5
red,9.9,0.5,0.5,13.8,48,5
red,5.3,0.47,0.11,2.2,16,7
red,9.9,0.5,0.5,13.8,48,5
red,5.3,0.47,0.11,2.2,16,7
red,7.1,0.875,0.05,5.7,3,3
red,8.2,0.28,0.6,3,10,5
red,5.6,0.62,0.03,1.5,6,4
red,8.2,0.28,0.6,3,10,5
red,7.2,0.58,0.54,2.1,3,4
red,8.1,0.33,0.44,1.5,6,5
red,6.8,0.91,0.06,2,4,4
red,7,0.655,0.16,2.1,8,5
red,6.8,0.68,0.21,2.1,9,5
red,6,0.64,0.05,1.9,9,5
red,5.6,0.54,0.04,1.7,5,5
red,6.2,0.57,0.1,2.1,4,6
red,7.1,0.22,0.49,1.8,8,6
red,5.6,0.54,0.04,1.7,5,5
red,6.2,0.65,0.06,1.6,6,5
red,7.7,0.54,0.26,1.9,23,5
red,6.4,0.31,0.09,1.4,15,7
red,7,0.43,0.02,1.9,15,6
red,7.7,0.54,0.26,1.9,23,5
red,6.9,0.74,0.03,2.3,7,6
red,6.6,0.895,0.04,2.3,7,6
red,6.9,0.74,0.03,2.3,7,6
red,7.5,0.725,0.04,1.5,8,5
red,7.8,0.82,0.29,4.3,21,5
red,7.3,0.585,0.18,2.4,15,5
red,6.2,0.44,0.39,2.5,6,6
red,7.5,0.38,0.57,2.3,5,6
red,6.7,0.76,0.02,1.8,6,3
red,6.8,0.81,0.05,2,6,6
red,7.5,0.38,0.57,2.3,5,6
red,7.1,0.27,0.6,2.1,17,6
red,7.9,0.18,0.4,1.8,7,5
red,6.4,0.36,0.21,2.2,26,6
red,7.1,0.69,0.04,2.1,19,5
red,6.4,0.79,0.04,2.2,11,6
red,6.4,0.56,0.15,1.8,17,6
red,6.9,0.84,0.21,4.1,16,6
red,6.9,0.84,0.21,4.1,16,6
red,6.1,0.32,0.25,2.3,23,5
red,6.5,0.53,0.06,2,29,6
red,7.4,0.47,0.46,2.2,7,5
red,6.6,0.7,0.08,2.6,14,5
red,6.5,0.53,0.06,2,29,6
red,6.9,0.48,0.2,1.9,9,4
red,6.1,0.32,0.25,2.3,23,5
red,6.8,0.48,0.25,2,29,5
red,6,0.42,0.19,2,22,6
red,6.7,0.48,0.08,2.1,18,5
red,6.8,0.47,0.08,2.2,18,6
red,7.1,0.53,0.07,1.7,15,6
red,7.9,0.29,0.49,2.2,21,6
red,7.1,0.69,0.08,2.1,42,6
red,7.2,0.53,0.13,2,18,6
red,8,0.39,0.3,1.9,32,5
red,6.6,0.56,0.14,2.4,13,7
red,7,0.55,0.13,2.2,15,6
red,6.1,0.53,0.08,1.9,24,6
red,5.4,0.58,0.08,1.9,20,6
red,6.2,0.64,0.09,2.5,15,5
red,7.2,0.39,0.32,1.8,34,5
red,6.2,0.52,0.08,4.4,11,6
red,7.4,0.25,0.29,2.2,19,7
red,6.7,0.855,0.02,1.9,29,6
red,11.1,0.44,0.42,2.2,14,6
red,8.4,0.37,0.43,2.3,12,7
red,6.5,0.63,0.33,1.8,16,6
